Rank,Song,Artist_s,Streams_billions,Release_date
1,Blinding Lights,The Weeknd,3.9,29 November 2019
2,Shape of You,Ed Sheeran,3.69,6 January 2017
3,Someone You Loved,Lewis Capaldi,3.06,8 November 2018
4,Sunflower,Post Malone and Swae Lee,3.01,18 October 2018
5,Dance Monkey,Tones and I,2.94,10 May 2019
6,One Dance,Drake featuring Wizkid and Kyla,2.86,5 April 2016
7,Stay,The Kid Laroi and Justin Bieber,2.83,9 July 2021
8,Starboy,The Weeknd featuring Daft Punk,2.81,21 September 2016
9,Rockstar,Post Malone featuring 21 Savage,2.81,15 September 2017
10,As It Was,Harry Styles,2.81,1 April 2022
11,Believer,Imagine Dragons,2.74,1 February 2017
12,Heat Waves,Glass Animals,2.72,29 June 2020
13,Perfect,Ed Sheeran,2.7,3 March 2017
14,Closer,The Chainsmokers featuring Halsey,2.68,29 July 2016
15,Seorita,Shawn Mendes and Camila Cabello,2.57,21 June 2019
16,Say You Wont Let Go,James Arthur,2.54,9 September 2016
17,Lovely,Billie Eilish and Khalid,2.52,19 April 2018
18,Sweater Weather,The Neighbourhood,2.49,28 March 2012
19,Watermelon Sugar,Harry Styles,2.45,13 December 2019
20,Dont Start Now,Dua Lipa,2.41,1 November 2019
21,Bad Guy,Billie Eilish,2.39,29 March 2019
22,Lucid Dreams,Juice WRLD,2.38,4 May 2018
23,Thinking Out Loud,Ed Sheeran,2.36,20 June 2014
24,Gods Plan,Drake,2.35,19 January 2018
25,Photograph,Ed Sheeran,2.34,20 June 2014
26,Something Just Like This,The Chainsmokers and Coldplay,2.32,22 February 2017
27,Bohemian Rhapsody,Queen,2.3,31 October 1975
28,Take Me to Church,Hozier,2.27,13 September 2013
29,Circles,Post Malone,2.26,30 August 2019
30,Shallow,Lady Gaga and Bradley Cooper,2.26,27 September 2018
31,Love Yourself,Justin Bieber,2.22,9 November 2015
32,All of Me,John Legend,2.18,12 August 2013
33,Riptide,Vance Joy,2.17,21 May 2013
34,Thunder,Imagine Dragons,2.17,27 April 2017
35,Counting Stars,OneRepublic,2.15,25 March 2013
36,goosebumps,Travis Scott featuring Kendrick Lamar,2.12,2 September 2016
37,7 Rings,Ariana Grande,2.12,18 January 2019
38,SAD,XXXTentacion,2.11,1 March 2018
39,Cant Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,2.1,16 August 2011
40,Stressed Out,Twenty One Pilots,2.1,28 April 2015
41,Wake Me Up,Avicii,2.09,17 June 2013
42,The Hills,The Weeknd,2.07,27 May 2015
43,Jocelyn Flores,XXXTentacion,2.06,31 October 2017
44,Let Her Go,Passenger,2.04,24 July 2012
45,Another Love,Tom Odell,2.03,24 June 2013
46,Humble,Kendrick Lamar,2.02,30 March 2017
47,One Kiss,Calvin Harris and Dua Lipa,1.99,6 April 2018
48,XO Tour Llif3,Lil Uzi Vert,1.99,24 March 2017
49,Good 4 U,Olivia Rodrigo,1.99,14 May 2021
50,Demons,Imagine Dragons,1.98,4 September 2012
51,Drivers License,Olivia Rodrigo,1.97,8 January 2021
52,Sicko Mode,Travis Scott featuring Drake,1.97,3 August 2018
53,New Rules,Dua Lipa,1.97,2 June 2017
54,Happier,Marshmello and Bastille,1.97,17 August 2018
